primary_type,community_area,count
OBSCENITY,55,3
OFFENSE INVOLVING CHILDREN,55,191
OTHER OFFENSE,55,1302
PROSTITUTION,55,2
PUBLIC PEACE VIOLATION,55,104
ROBBERY,55,239
SEX OFFENSE,55,58
STALKING,55,24
THEFT,55,2918
WEAPONS VIOLATION,55,142
ARSON,56,107
ASSAULT,56,3133
BATTERY,56,7839
BURGLARY,56,3624
CONCEALED CARRY LICENSE VIOLATION,56,118
CRIM SEXUAL ASSAULT,56,159
CRIMINAL DAMAGE,56,8998
CRIMINAL SEXUAL ASSAULT,56,23
CRIMINAL TRESPASS,56,1340
DECEPTIVE PRACTICE,56,3856
GAMBLING,56,35
HOMICIDE,56,57
INTERFERENCE WITH PUBLIC OFFICER,56,77
INTIMIDATION,56,31
KIDNAPPING,56,42
LIQUOR LAW VIOLATION,56,93
MOTOR VEHICLE THEFT,56,2569
NARCOTICS,56,3470
NON - CRIMINAL,56,1
NON-CRIMINAL,56,5
OBSCENITY,56,7
OFFENSE INVOLVING CHILDREN,56,397
OTHER NARCOTIC VIOLATION,56,1
OTHER OFFENSE,56,3551
PROSTITUTION,56,2868
PUBLIC PEACE VIOLATION,56,406
ROBBERY,56,1434
SEX OFFENSE,56,229
STALKING,56,35
THEFT,56,11563
WEAPONS VIOLATION,56,563
ARSON,57,59
ASSAULT,57,1266
BATTERY,57,3314
BURGLARY,57,1953
CONCEALED CARRY LICENSE VIOLATION,57,1
CRIM SEXUAL ASSAULT,57,87
CRIMINAL DAMAGE,57,4079
CRIMINAL SEXUAL ASSAULT,57,21
CRIMINAL TRESPASS,57,331
DECEPTIVE PRACTICE,57,1049
GAMBLING,57,8
HOMICIDE,57,26
INTERFERENCE WITH PUBLIC OFFICER,57,19
INTIMIDATION,57,15
KIDNAPPING,57,40
LIQUOR LAW VIOLATION,57,55
MOTOR VEHICLE THEFT,57,1751
NARCOTICS,57,1005
NON-CRIMINAL,57,1
OBSCENITY,57,6
OFFENSE INVOLVING CHILDREN,57,201
OTHER OFFENSE,57,1297
PROSTITUTION,57,550
PUBLIC INDECENCY,57,2
PUBLIC PEACE VIOLATION,57,187
ROBBERY,57,932
SEX OFFENSE,57,138
STALKING,57,11
THEFT,57,5897
WEAPONS VIOLATION,57,246
ARSON,58,208
ASSAULT,58,3940
BATTERY,58,12178
BURGLARY,58,4731
CONCEALED CARRY LICENSE VIOLATION,58,1
CRIM SEXUAL ASSAULT,58,267
CRIMINAL DAMAGE,58,9494
CRIMINAL SEXUAL ASSAULT,58,43
CRIMINAL TRESPASS,58,999
DECEPTIVE PRACTICE,58,2217
GAMBLING,58,18
HOMICIDE,58,136
HUMAN TRAFFICKING,58,1
INTERFERENCE WITH PUBLIC OFFICER,58,142
INTIMIDATION,58,59
KIDNAPPING,58,90
LIQUOR LAW VIOLATION,58,205
MOTOR VEHICLE THEFT,58,4619
NARCOTICS,58,4659
NON - CRIMINAL,58,1
OBSCENITY,58,15
OFFENSE INVOLVING CHILDREN,58,765
OTHER NARCOTIC VIOLATION,58,1
OTHER OFFENSE,58,4290
PROSTITUTION,58,2214
PUBLIC INDECENCY,58,3
PUBLIC PEACE VIOLATION,58,800
ROBBERY,58,2370
SEX OFFENSE,58,462
STALKING,58,39
THEFT,58,10396
WEAPONS VIOLATION,58,1064
ARSON,59,79
ASSAULT,59,1697
BATTERY,59,4155
BURGLARY,59,1921
CONCEALED CARRY LICENSE VIOLATION,59,6
CRIM SEXUAL ASSAULT,59,69
CRIMINAL DAMAGE,59,4575
CRIMINAL SEXUAL ASSAULT,59,16
CRIMINAL TRESPASS,59,486
DECEPTIVE PRACTICE,59,1092
GAMBLING,59,11
HOMICIDE,59,32
HUMAN TRAFFICKING,59,1
INTERFERENCE WITH PUBLIC OFFICER,59,45
INTIMIDATION,59,25
KIDNAPPING,59,20
LIQUOR LAW VIOLATION,59,82
MOTOR VEHICLE THEFT,59,1710
NARCOTICS,59,1737
NON-CRIMINAL,59,1
OBSCENITY,59,3
OFFENSE INVOLVING CHILDREN,59,227
OTHER OFFENSE,59,1602
PROSTITUTION,59,32
PUBLIC PEACE VIOLATION,59,164
ROBBERY,59,706
SEX OFFENSE,59,136
STALKING,59,17
THEFT,59,7084
WEAPONS VIOLATION,59,309
ARSON,6,107
ASSAULT,6,4888
BATTERY,6,16899
BURGLARY,6,10043
CONCEALED CARRY LICENSE VIOLATION,6,9
CRIM SEXUAL ASSAULT,6,568
CRIMINAL DAMAGE,6,13871
CRIMINAL SEXUAL ASSAULT,6,130
CRIMINAL TRESPASS,6,3982
DECEPTIVE PRACTICE,6,11822
GAMBLING,6,18
HOMICIDE,6,36
HUMAN TRAFFICKING,6,1
INTERFERENCE WITH PUBLIC OFFICER,6,167
INTIMIDATION,6,71
KIDNAPPING,6,38
LIQUOR LAW VIOLATION,6,463
MOTOR VEHICLE THEFT,6,5153
NARCOTICS,6,3938
NON-CRIMINAL,6,13
OBSCENITY,6,15
OFFENSE INVOLVING CHILDREN,6,281
OTHER NARCOTIC VIOLATION,6,16
OTHER OFFENSE,6,6093
PROSTITUTION,6,628
PUBLIC INDECENCY,6,8
PUBLIC PEACE VIOLATION,6,926
ROBBERY,6,5145
SEX OFFENSE,6,601
STALKING,6,85
THEFT,6,51243
WEAPONS VIOLATION,6,321
ARSON,60,116
ASSAULT,60,3079
BATTERY,60,7059
BURGLARY,60,3482
CONCEALED CARRY LICENSE VIOLATION,60,2
CRIM SEXUAL ASSAULT,60,143
CRIMINAL DAMAGE,60,7733
CRIMINAL SEXUAL ASSAULT,60,27
CRIMINAL TRESPASS,60,1075
DECEPTIVE PRACTICE,60,1998
GAMBLING,60,20
HOMICIDE,60,41
HUMAN TRAFFICKING,60,1
INTERFERENCE WITH PUBLIC OFFICER,60,73
INTIMIDATION,60,50
KIDNAPPING,60,48
LIQUOR LAW VIOLATION,60,112
MOTOR VEHICLE THEFT,60,2201
NARCOTICS,60,1833
NON - CRIMINAL,60,2
NON-CRIMINAL,60,2
NON-CRIMINAL (SUBJECT SPECIFIED),60,1
OBSCENITY,60,9
OFFENSE INVOLVING CHILDREN,60,295
OTHER OFFENSE,60,3102
PROSTITUTION,60,214
PUBLIC INDECENCY,60,1
PUBLIC PEACE VIOLATION,60,310
ROBBERY,60,939
SEX OFFENSE,60,205
STALKING,60,27
THEFT,60,9268
WEAPONS VIOLATION,60,357
ARSON,61,364
ASSAULT,61,10380
BATTERY,61,30063
BURGLARY,61,7387
CONCEALED CARRY LICENSE VIOLATION,61,6
CRIM SEXUAL ASSAULT,61,562
CRIMINAL DAMAGE,61,15506
CRIMINAL SEXUAL ASSAULT,61,74
CRIMINAL TRESPASS,61,2794
DECEPTIVE PRACTICE,61,3527
GAMBLING,61,385
HOMICIDE,61,336
INTERFERENCE WITH PUBLIC OFFICER,61,510
INTIMIDATION,61,92
KIDNAPPING,61,107
LIQUOR LAW VIOLATION,61,313
MOTOR VEHICLE THEFT,61,6047
NARCOTICS,61,17250
NON-CRIMINAL,61,3
NON-CRIMINAL (SUBJECT SPECIFIED),61,1
OBSCENITY,61,14
OFFENSE INVOLVING CHILDREN,61,1245
OTHER NARCOTIC VIOLATION,61,1
OTHER OFFENSE,61,7785
PROSTITUTION,61,2205
PUBLIC INDECENCY,61,5
PUBLIC PEACE VIOLATION,61,1464
ROBBERY,61,4838
SEX OFFENSE,61,629
STALKING,61,54
THEFT,61,22592
WEAPONS VIOLATION,61,2949
ARSON,62,65
ASSAULT,62,1380
BATTERY,62,3455
BURGLARY,62,2472
CRIM SEXUAL ASSAULT,62,80
CRIMINAL DAMAGE,62,4792
CRIMINAL SEXUAL ASSAULT,62,11
CRIMINAL TRESPASS,62,525
DECEPTIVE PRACTICE,62,1275
GAMBLING,62,8
HOMICIDE,62,28
INTERFERENCE WITH PUBLIC OFFICER,62,34
INTIMIDATION,62,8
KIDNAPPING,62,36
LIQUOR LAW VIOLATION,62,47
MOTOR VEHICLE THEFT,62,1585
NARCOTICS,62,1242
OBSCENITY,62,8
OFFENSE INVOLVING CHILDREN,62,208
OTHER OFFENSE,62,1629
PROSTITUTION,62,7
PUBLIC INDECENCY,62,1
PUBLIC PEACE VIOLATION,62,256
ROBBERY,62,955
SEX OFFENSE,62,144
STALKING,62,22
THEFT,62,5866
WEAPONS VIOLATION,62,253
ARSON,63,230
ASSAULT,63,3912
BATTERY,63,10967
BURGLARY,63,4473
CONCEALED CARRY LICENSE VIOLATION,63,7
CRIM SEXUAL ASSAULT,63,267
CRIMINAL DAMAGE,63,9148
CRIMINAL SEXUAL ASSAULT,63,49
CRIMINAL TRESPASS,63,1066
DECEPTIVE PRACTICE,63,1854
GAMBLING,63,38
HOMICIDE,63,147
INTERFERENCE WITH PUBLIC OFFICER,63,134
INTIMIDATION,63,45
KIDNAPPING,63,63
LIQUOR LAW VIOLATION,63,156
MOTOR VEHICLE THEFT,63,4243
NARCOTICS,63,5515
NON - CRIMINAL,63,1
OBSCENITY,63,12
OFFENSE INVOLVING CHILDREN,63,691
OTHER OFFENSE,63,3903
PROSTITUTION,63,172
PUBLIC INDECENCY,63,1
PUBLIC PEACE VIOLATION,63,944
ROBBERY,63,2517
SEX OFFENSE,63,372
STALKING,63,33
THEFT,63,10681
WEAPONS VIOLATION,63,1131
ARSON,64,55
ASSAULT,64,1741
BATTERY,64,4357
BURGLARY,64,2155
CONCEALED CARRY LICENSE VIOLATION,64,1
CRIM SEXUAL ASSAULT,64,73
CRIMINAL DAMAGE,64,5208
CRIMINAL SEXUAL ASSAULT,64,15
CRIMINAL TRESPASS,64,457
DECEPTIVE PRACTICE,64,1677
GAMBLING,64,17
HOMICIDE,64,19
INTERFERENCE WITH PUBLIC OFFICER,64,31
INTIMIDATION,64,20
KIDNAPPING,64,28
LIQUOR LAW VIOLATION,64,53
MOTOR VEHICLE THEFT,64,1216
NARCOTICS,64,1047
NON - CRIMINAL,64,1
OBSCENITY,64,7
OFFENSE INVOLVING CHILDREN,64,331
OTHER OFFENSE,64,2517
PROSTITUTION,64,11
PUBLIC INDECENCY,64,2
PUBLIC PEACE VIOLATION,64,193
ROBBERY,64,412
SEX OFFENSE,64,128
STALKING,64,24
THEFT,64,5210
WEAPONS VIOLATION,64,170
ARSON,65,114
ASSAULT,65,2488
BATTERY,65,6593
BURGLARY,65,3755
CONCEALED CARRY LICENSE VIOLATION,65,2
CRIM SEXUAL ASSAULT,65,160
CRIMINAL DAMAGE,65,7824
CRIMINAL SEXUAL ASSAULT,65,31
CRIMINAL TRESPASS,65,746
DECEPTIVE PRACTICE,65,2269
GAMBLING,65,27
HOMICIDE,65,32
INTERFERENCE WITH PUBLIC OFFICER,65,42
INTIMIDATION,65,30
KIDNAPPING,65,61
LIQUOR LAW VIOLATION,65,79
MOTOR VEHICLE THEFT,65,2844
NARCOTICS,65,1805
NON-CRIMINAL,65,1
NON-CRIMINAL (SUBJECT SPECIFIED),65,1
OBSCENITY,65,8
OFFENSE INVOLVING CHILDREN,65,504
OTHER NARCOTIC VIOLATION,65,1
OTHER OFFENSE,65,3060
PROSTITUTION,65,20
PUBLIC INDECENCY,65,3
PUBLIC PEACE VIOLATION,65,321
ROBBERY,65,1654
SEX OFFENSE,65,246
STALKING,65,28
THEFT,65,15496
WEAPONS VIOLATION,65,357
ARSON,66,359
ASSAULT,66,11998
BATTERY,66,33760
BURGLARY,66,12211
CONCEALED CARRY LICENSE VIOLATION,66,7
CRIM SEXUAL ASSAULT,66,686
CRIMINAL DAMAGE,66,20850
CRIMINAL SEXUAL ASSAULT,66,96
CRIMINAL TRESPASS,66,3581
DECEPTIVE PRACTICE,66,5179
GAMBLING,66,479
HOMICIDE,66,326
INTERFERENCE WITH PUBLIC OFFICER,66,488
INTIMIDATION,66,73
KIDNAPPING,66,167
LIQUOR LAW VIOLATION,66,236
MOTOR VEHICLE THEFT,66,8914
NARCOTICS,66,17914
NON - CRIMINAL,66,5
NON-CRIMINAL,66,7
OBSCENITY,66,21
OFFENSE INVOLVING CHILDREN,66,1516
OTHER OFFENSE,66,10876
PROSTITUTION,66,561
PUBLIC PEACE VIOLATION,66,1618
ROBBERY,66,8085
SEX OFFENSE,66,649
STALKING,66,57
THEFT,66,24973
WEAPONS VIOLATION,66,2729
ARSON,67,455
ASSAULT,67,15454
BATTERY,67,47176
BURGLARY,67,12032
CONCEALED CARRY LICENSE VIOLATION,67,45
CRIM SEXUAL ASSAULT,67,887
CRIMINAL DAMAGE,67,22911
CRIMINAL SEXUAL ASSAULT,67,109
CRIMINAL TRESPASS,67,3976
DECEPTIVE PRACTICE,67,4364
GAMBLING,67,810
HOMICIDE,67,457
HUMAN TRAFFICKING,67,5
INTERFERENCE WITH PUBLIC OFFICER,67,838
INTIMIDATION,67,80
KIDNAPPING,67,171
LIQUOR LAW VIOLATION,67,179
MOTOR VEHICLE THEFT,67,7525
NARCOTICS,67,25221
NON-CRIMINAL,67,2
OBSCENITY,67,10
OFFENSE INVOLVING CHILDREN,67,1457
OTHER OFFENSE,67,11299
PROSTITUTION,67,2167
PUBLIC INDECENCY,67,2
PUBLIC PEACE VIOLATION,67,1313
RITUALISM,67,1
ROBBERY,67,7861
SEX OFFENSE,67,592
STALKING,67,82
THEFT,67,26904
WEAPONS VIOLATION,67,4797
ARSON,68,396
ASSAULT,68,14774
BATTERY,68,45087
BURGLARY,68,10572
CONCEALED CARRY LICENSE VIOLATION,68,39
CRIM SEXUAL ASSAULT,68,843
CRIMINAL DAMAGE,68,19805
CRIMINAL SEXUAL ASSAULT,68,97
CRIMINAL TRESPASS,68,4017
DECEPTIVE PRACTICE,68,3997
GAMBLING,68,620
HOMICIDE,68,479
HUMAN TRAFFICKING,68,1
INTERFERENCE WITH PUBLIC OFFICER,68,622
INTIMIDATION,68,95
KIDNAPPING,68,146
LIQUOR LAW VIOLATION,68,146
MOTOR VEHICLE THEFT,68,7215
NARCOTICS,68,20538
OBSCENITY,68,12
OFFENSE INVOLVING CHILDREN,68,1321
OTHER OFFENSE,68,10292
PROSTITUTION,68,2033
PUBLIC INDECENCY,68,3
PUBLIC PEACE VIOLATION,68,1293
RITUALISM,68,1
ROBBERY,68,7993
SEX OFFENSE,68,613
STALKING,68,87
THEFT,68,23785
WEAPONS VIOLATION,68,4099
ARSON,69,268
ASSAULT,69,13482
BATTERY,69,38560
BURGLARY,69,9713
CONCEALED CARRY LICENSE VIOLATION,69,17
CRIM SEXUAL ASSAULT,69,775
CRIMINAL DAMAGE,69,19023
CRIMINAL SEXUAL ASSAULT,69,105
CRIMINAL TRESPASS,69,5739
DECEPTIVE PRACTICE,69,5486
GAMBLING,69,347
HOMICIDE,69,417
HUMAN TRAFFICKING,69,4
INTERFERENCE WITH PUBLIC OFFICER,69,566
INTIMIDATION,69,83
KIDNAPPING,69,165
LIQUOR LAW VIOLATION,69,166
MOTOR VEHICLE THEFT,69,8843
NARCOTICS,69,15642
NON-CRIMINAL,69,2
OBSCENITY,69,9
OFFENSE INVOLVING CHILDREN,69,1495
OTHER NARCOTIC VIOLATION,69,1
OTHER OFFENSE,69,11232
PROSTITUTION,69,481
PUBLIC INDECENCY,69,4
PUBLIC PEACE VIOLATION,69,1110
RITUALISM,69,1
ROBBERY,69,8700
SEX OFFENSE,69,549
STALKING,69,105
THEFT,69,24274
WEAPONS VIOLATION,69,3264
ARSON,7,66
ASSAULT,7,3048
BATTERY,7,9616
BURGLARY,7,7815
CONCEALED CARRY LICENSE VIOLATION,7,5
CRIM SEXUAL ASSAULT,7,309
CRIMINAL DAMAGE,7,12295
CRIMINAL SEXUAL ASSAULT,7,59
CRIMINAL TRESPASS,7,3181
DECEPTIVE PRACTICE,7,7904
GAMBLING,7,18
HOMICIDE,7,19
HUMAN TRAFFICKING,7,1
INTERFERENCE WITH PUBLIC OFFICER,7,60
INTIMIDATION,7,30
KIDNAPPING,7,53
LIQUOR LAW VIOLATION,7,398
MOTOR VEHICLE THEFT,7,4353
NARCOTICS,7,1657
NON-CRIMINAL,7,1
OBSCENITY,7,8
OFFENSE INVOLVING CHILDREN,7,216
OTHER NARCOTIC VIOLATION,7,3
OTHER OFFENSE,7,3636
PROSTITUTION,7,344
PUBLIC INDECENCY,7,8
PUBLIC PEACE VIOLATION,7,373
ROBBERY,7,3099
SEX OFFENSE,7,439
STALKING,7,49
THEFT,7,47703
WEAPONS VIOLATION,7,213
ARSON,70,110
ASSAULT,70,4404
BATTERY,70,10129
BURGLARY,70,5193
CRIM SEXUAL ASSAULT,70,221
CRIMINAL DAMAGE,70,9736
CRIMINAL SEXUAL ASSAULT,70,35
CRIMINAL TRESPASS,70,1191
DECEPTIVE PRACTICE,70,3292
GAMBLING,70,64
HOMICIDE,70,85
INTERFERENCE WITH PUBLIC OFFICER,70,70
INTIMIDATION,70,39
KIDNAPPING,70,85
LIQUOR LAW VIOLATION,70,63
MOTOR VEHICLE THEFT,70,3516
NARCOTICS,70,2413
NON - CRIMINAL,70,3
OBSCENITY,70,17
OFFENSE INVOLVING CHILDREN,70,596
OTHER NARCOTIC VIOLATION,70,1
OTHER OFFENSE,70,4922
PROSTITUTION,70,41
PUBLIC PEACE VIOLATION,70,489
ROBBERY,70,2678
SEX OFFENSE,70,253
STALKING,70,41
THEFT,70,12072
WEAPONS VIOLATION,70,656
ARSON,71,298
ASSAULT,71,14732
BATTERY,71,41583
BURGLARY,71,12742
CONCEALED CARRY LICENSE VIOLATION,71,28
CRIM SEXUAL ASSAULT,71,808
CRIMINAL DAMAGE,71,22093
CRIMINAL SEXUAL ASSAULT,71,102
CRIMINAL TRESPASS,71,5401
DECEPTIVE PRACTICE,71,6437
GAMBLING,71,500
HOMICIDE,71,388
HUMAN TRAFFICKING,71,6
INTERFERENCE WITH PUBLIC OFFICER,71,715
INTIMIDATION,71,111
KIDNAPPING,71,193
LIQUOR LAW VIOLATION,71,216
MOTOR VEHICLE THEFT,71,8885
NARCOTICS,71,19841
NON-CRIMINAL,71,2
OBSCENITY,71,11
OFFENSE INVOLVING CHILDREN,71,1907
OTHER NARCOTIC VIOLATION,71,1
OTHER OFFENSE,71,13248
PROSTITUTION,71,1001
PUBLIC INDECENCY,71,3
PUBLIC PEACE VIOLATION,71,1184
RITUALISM,71,1
ROBBERY,71,8834
SEX OFFENSE,71,571
STALKING,71,127
THEFT,71,29341
WEAPONS VIOLATION,71,3810
ARSON,72,28
ASSAULT,72,1346
BATTERY,72,2783
BURGLARY,72,2155
CONCEALED CARRY LICENSE VIOLATION,72,1
CRIM SEXUAL ASSAULT,72,60
CRIMINAL DAMAGE,72,3594
CRIMINAL SEXUAL ASSAULT,72,9
CRIMINAL TRESPASS,72,698
DECEPTIVE PRACTICE,72,2167
GAMBLING,72,4
HOMICIDE,72,13
INTERFERENCE WITH PUBLIC OFFICER,72,27
INTIMIDATION,72,16
KIDNAPPING,72,74
LIQUOR LAW VIOLATION,72,69
MOTOR VEHICLE THEFT,72,1171
NARCOTICS,72,591
OBSCENITY,72,3
OFFENSE INVOLVING CHILDREN,72,284
OTHER OFFENSE,72,2151
PROSTITUTION,72,2
PUBLIC INDECENCY,72,1
PUBLIC PEACE VIOLATION,72,125
ROBBERY,72,759
SEX OFFENSE,72,100
STALKING,72,22
THEFT,72,6536
WEAPONS VIOLATION,72,127
ARSON,73,122
ASSAULT,73,5906
BATTERY,73,15342
BURGLARY,73,4898
CONCEALED CARRY LICENSE VIOLATION,73,8
CRIM SEXUAL ASSAULT,73,335
CRIMINAL DAMAGE,73,10173
CRIMINAL SEXUAL ASSAULT,73,55
CRIMINAL TRESPASS,73,2030
DECEPTIVE PRACTICE,73,3523
GAMBLING,73,157
HOMICIDE,73,175
HUMAN TRAFFICKING,73,1
INTERFERENCE WITH PUBLIC OFFICER,73,210
INTIMIDATION,73,35
KIDNAPPING,73,117
LIQUOR LAW VIOLATION,73,42
MOTOR VEHICLE THEFT,73,4320
NARCOTICS,73,7034
NON-CRIMINAL,73,1
OBSCENITY,73,7
OFFENSE INVOLVING CHILDREN,73,804
OTHER OFFENSE,73,6287
PROSTITUTION,73,114
PUBLIC INDECENCY,73,1
PUBLIC PEACE VIOLATION,73,517
ROBBERY,73,3323
SEX OFFENSE,73,289
STALKING,73,48
THEFT,73,14392
WEAPONS VIOLATION,73,1363
ARSON,74,16
ASSAULT,74,1075
BATTERY,74,2265
BURGLARY,74,686
CONCEALED CARRY LICENSE VIOLATION,74,2
CRIM SEXUAL ASSAULT,74,51
CRIMINAL DAMAGE,74,2438
CRIMINAL SEXUAL ASSAULT,74,4
CRIMINAL TRESPASS,74,440
DECEPTIVE PRACTICE,74,1310
GAMBLING,74,3
HOMICIDE,74,3
INTERFERENCE WITH PUBLIC OFFICER,74,15
INTIMIDATION,74,19
KIDNAPPING,74,87
LIQUOR LAW VIOLATION,74,80
MOTOR VEHICLE THEFT,74,354
NARCOTICS,74,512
OBSCENITY,74,5
OFFENSE INVOLVING CHILDREN,74,272
OTHER NARCOTIC VIOLATION,74,1
OTHER OFFENSE,74,1585
PROSTITUTION,74,3
PUBLIC PEACE VIOLATION,74,92
ROBBERY,74,209
SEX OFFENSE,74,90
STALKING,74,22
THEFT,74,3737
WEAPONS VIOLATION,74,60
ARSON,75,72
ASSAULT,75,3921
BATTERY,75,9951
BURGLARY,75,3420
CONCEALED CARRY LICENSE VIOLATION,75,6
CRIM SEXUAL ASSAULT,75,185
CRIMINAL DAMAGE,75,6874
CRIMINAL SEXUAL ASSAULT,75,19
CRIMINAL TRESPASS,75,1374
DECEPTIVE PRACTICE,75,2937
GAMBLING,75,64
HOMICIDE,75,83
INTERFERENCE WITH PUBLIC OFFICER,75,133
INTIMIDATION,75,45
KIDNAPPING,75,104
LIQUOR LAW VIOLATION,75,60
MOTOR VEHICLE THEFT,75,2351
NARCOTICS,75,4029
NON-CRIMINAL,75,2
OBSCENITY,75,9
OFFENSE INVOLVING CHILDREN,75,670
OTHER OFFENSE,75,4374
PROSTITUTION,75,14
PUBLIC INDECENCY,75,2
PUBLIC PEACE VIOLATION,75,392
ROBBERY,75,1634
SEX OFFENSE,75,162
STALKING,75,35
THEFT,75,11278
WEAPONS VIOLATION,75,706
ARSON,76,13
ASSAULT,76,1550
BATTERY,76,3954
BURGLARY,76,461
CONCEALED CARRY LICENSE VIOLATION,76,169
CRIM SEXUAL ASSAULT,76,52
CRIMINAL DAMAGE,76,3219
CRIMINAL SEXUAL ASSAULT,76,15
CRIMINAL TRESPASS,76,3401
DECEPTIVE PRACTICE,76,3748
GAMBLING,76,1
HOMICIDE,76,5
INTERFERENCE WITH PUBLIC OFFICER,76,43
INTIMIDATION,76,14
KIDNAPPING,76,10
LIQUOR LAW VIOLATION,76,21
MOTOR VEHICLE THEFT,76,1607
NARCOTICS,76,2463
NON - CRIMINAL,76,1
NON-CRIMINAL,76,20
OBSCENITY,76,2
OFFENSE INVOLVING CHILDREN,76,94
OTHER NARCOTIC VIOLATION,76,1
OTHER OFFENSE,76,6591
PROSTITUTION,76,30
PUBLIC PEACE VIOLATION,76,409
ROBBERY,76,170
SEX OFFENSE,76,137
STALKING,76,24
THEFT,76,12820
WEAPONS VIOLATION,76,260
ARSON,77,66
ASSAULT,77,3897
BATTERY,77,11219
BURGLARY,77,3841
CONCEALED CARRY LICENSE VIOLATION,77,1
CRIM SEXUAL ASSAULT,77,269
CRIMINAL DAMAGE,77,7500
CRIMINAL SEXUAL ASSAULT,77,64
CRIMINAL TRESPASS,77,2141
DECEPTIVE PRACTICE,77,4607
GAMBLING,77,52
HOMICIDE,77,49
INTERFERENCE WITH PUBLIC OFFICER,77,75
INTIMIDATION,77,38
KIDNAPPING,77,36
LIQUOR LAW VIOLATION,77,195
MOTOR VEHICLE THEFT,77,2403
NARCOTICS,77,3129
NON-CRIMINAL,77,2
OBSCENITY,77,8
OFFENSE INVOLVING CHILDREN,77,358
OTHER NARCOTIC VIOLATION,77,1
OTHER OFFENSE,77,4881
PROSTITUTION,77,150
PUBLIC INDECENCY,77,2
PUBLIC PEACE VIOLATION,77,510
ROBBERY,77,2315
SEX OFFENSE,77,348
STALKING,77,40
THEFT,77,19674
WEAPONS VIOLATION,77,283
ARSON,8,76
ASSAULT,8,9278
BATTERY,8,31086
BURGLARY,8,5644
CONCEALED CARRY LICENSE VIOLATION,8,18
CRIM SEXUAL ASSAULT,8,773
CRIMINAL DAMAGE,8,15100
CRIMINAL SEXUAL ASSAULT,8,303
CRIMINAL TRESPASS,8,13334
DECEPTIVE PRACTICE,8,24521
GAMBLING,8,106
HOMICIDE,8,110
HUMAN TRAFFICKING,8,3
INTERFERENCE WITH PUBLIC OFFICER,8,491
INTIMIDATION,8,123
KIDNAPPING,8,73
LIQUOR LAW VIOLATION,8,637
MOTOR VEHICLE THEFT,8,5589
NARCOTICS,8,10352
NON - CRIMINAL,8,1
NON-CRIMINAL,8,12
OBSCENITY,8,18
OFFENSE INVOLVING CHILDREN,8,555
OTHER NARCOTIC VIOLATION,8,7
OTHER OFFENSE,8,8498
PROSTITUTION,8,3914
PUBLIC INDECENCY,8,18
PUBLIC PEACE VIOLATION,8,1286
RITUALISM,8,2
ROBBERY,8,6329
SEX OFFENSE,8,746
STALKING,8,145
THEFT,8,99141
WEAPONS VIOLATION,8,1259
ARSON,9,12
ASSAULT,9,375
BATTERY,9,1123
BURGLARY,9,341
CRIM SEXUAL ASSAULT,9,19
CRIMINAL DAMAGE,9,1307
CRIMINAL SEXUAL ASSAULT,9,5
CRIMINAL TRESPASS,9,182
DECEPTIVE PRACTICE,9,631
GAMBLING,9,4
HOMICIDE,9,2
INTERFERENCE WITH PUBLIC OFFICER,9,3
INTIMIDATION,9,12
KIDNAPPING,9,17
LIQUOR LAW VIOLATION,9,11
MOTOR VEHICLE THEFT,9,189
NARCOTICS,9,84
OBSCENITY,9,2
OFFENSE INVOLVING CHILDREN,9,51
OTHER OFFENSE,9,773
PROSTITUTION,9,6
PUBLIC PEACE VIOLATION,9,38
ROBBERY,9,39
SEX OFFENSE,9,58
STALKING,9,8
THEFT,9,1464
WEAPONS VIOLATION,9,9
